"기업명","경력","직무","질문"
"현대모비스㈜","신입","인성면접 - 재경","우리회사 매출액이 연결기준, 개별기준으로 각각 얼마인가?"
"현대모비스㈜","신입","인성면접 - 재경","일이 힘든데 할 수 있겠는가?"
"현대모비스㈜","신입","인성면접 - 재경","자기소개를 1분간 해보라"
"현대모비스㈜","신입","인성면접 - 재경","현대자동차가 아닌 현대모비스 지원동기가 무엇인가?"
"현대모비스㈜","경력무관","일반면접","1분 자기소개해보세요"
"현대모비스㈜","경력무관","일반면접","고향이 어디인지 영어로 설명해보세요"
"현대모비스㈜","경력무관","일반면접","군대생활을 영어로 말해보세요"
"현대모비스㈜","경력무관","일반면접","다른 곳에 붙었는데 우리 회사에 오려고 하는 이유는?"
"현대모비스㈜","경력무관","일반면접","마지막으로 하고 싶은 말을 해보세요"
"현대모비스㈜","경력무관","일반면접","아버지는 무슨 일을 하시는가?"
"현대모비스㈜","경력무관","일반면접","어디서 사는가? 지역을 소개해보세요"
"현대모비스㈜","경력무관","일반면접","외국에 갔다 왔는가? 그곳의 느낌은 어떠한지 영어로 말해보세요"
"현대모비스㈜","경력무관","일반면접","전공과 관련하여 회사에 어떠한 상품이 있는지 아는가?"
"현대모비스㈜","경력무관","일반면접","취미와 특기가 무엇인지 영어로 말해보세요"
"현대모비스㈜","신입","일반면접 - R&D","관심 있게 들은 과목은 무엇인가? 그 과목에 대해 설명해보세요"
"현대모비스㈜","신입","일반면접 - R&D","마지막으로 하고 싶은 말을 해보세요"
"현대모비스㈜","신입","일반면접 - R&D","어떠한 직무를 하고 싶은지 말하고 그에 대한 배경이 어떤 것인지 스피치해보세요"
"현대모비스㈜","경력무관","일반면접 - 연구개발","간단하게 자신의 연구 분야를 설명하고 자신이 모비스에 어떻게 기여할 수 있는지에 대해 설명해보세요"
"현대모비스㈜","경력무관","일반면접 - 연구개발","공백기가 있는데 공백기간동안 무엇을 했는가?"
"현대모비스㈜","경력무관","일반면접 - 연구개발","두려움을 극복해본적있는가?"
"현대모비스㈜","경력무관","일반면접 - 연구개발","모비스에 입사하고 싶은 이유를 영어로 말해보세요"
"현대모비스㈜","경력무관","일반면접 - 연구개발","영어공부는 어느 정도 하는지 영어로 말해보세요"
"현대모비스㈜","경력무관","일반면접 - 연구개발","오늘 면접 올때 뭐 타고 왔는지 영어로 말해보세요"
"현대모비스㈜","경력무관","일반면접 - 연구개발","이름과 하고싶은 업무 그리고 관련 경험 과 업무에 대한 장점 및 포부를 넣어 자기소개해보세요"
"현대모비스㈜","경력무관","일반면접 - 연구개발","장점과 단점을 영어로 말해보세요"
"현대모비스㈜","경력무관","일반면접 - 연구개발","취미가 무엇인가? 영어로 말해보세요"
"현대모비스㈜","경력무관","일반면접 - 연구개발","취미가 무엇인지 영어로 말해보세요"
"현대모비스㈜","경력무관","일반면접 - 디자인","다른 곳도 지원했는가?"
"현대모비스㈜","경력무관","일반면접 - 디자인","디자인 중에서 특히 하고 싶은 쪽은 무엇인가?"
"현대모비스㈜","경력무관","일반면접 - 디자인","마지막으로 하고 싶은 말은 있는가?"
"현대모비스㈜","경력무관","일반면접 - 디자인","복수 전공을 했는가?"
"현대모비스㈜","경력무관","일반면접 - 디자인","왜 이곳을 지원했는가?"
"현대모비스㈜","경력무관","일반면접 - 디자인","자기소개를 해보라"
"현대모비스㈜","경력무관","일반면접 - 디자인","전공이 무엇인가?"
"현대모비스㈜","신입","일반면접 - 산학장학생","유성기업문제에 대해 설명해보라"
"현대모비스㈜","신입","일반면접 - 산학장학생","임직원자녀가산점을 노조와 구직자 입장에서 각각 설명해보라"
"현대모비스㈜","신입","일반면접 - 산학장학생","학점이 낮은 이유는?"
"현대자동차㈜","신입","일반면접 - 온라인마케터","자기소개 해주세요."
"현대자동차㈜","신입","일반면접 - 온라인마케터","저관여 고객들을 끌여들이기 위한 마케팅 방안은 무엇이 있을까요?"
"현대자동차㈜","신입","일반면접 - 온라인마케터","개인적으로 가장 사고 싶은 자동차는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","PPT 내용 중에 제조업 아르바이트를 했다고 했는데 굳이 왜 제조업을 했나요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","PPT 내용 중에 범퍼를 교체하는 업무를 했다고 했는데 하면서 느낀 점은 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","대학교와 대외활동을 모두 윗지방에서 생활했는데 왜 울산공장에 지원했나요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","대외활동을 하면서 외국인과 소통하는데 어려움은 없었나요?"
"현대자동차㈜","신입","일반면접 - 재무담당자","현대자동차에 지원하게 된 동기가 어떻게 되실까요?"
"현대자동차㈜","신입","일반면접 - 재무담당자","부품 단위의 직접 원가를 줄이는 것에 대해서 어떻게 생각하나요?"
"현대자동차㈜","신입","일반면접 - 재무담당자","본인이 차종 손익 기획을 한다고 하였을 때 가장 중요하게 보는 기준은 무엇일까요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","프로젝트를 진행하면서 갈등이나 어려운 점 없었나요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","LPF 설계 팀원 몇 명이었고 무슨 역할이었나요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","해석 결과가 사실 실제랑 corelation이 안 될 때가 많은데 실제로 검증해본 경험은 없나요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","본인만의 스트레스 관리법이 있다면?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","유한요소 모델링을 해본적이 있는지? 있다면 그 과정은?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","프로젝트를 진행하며 어려웠던점은 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 재무담당자","현대자동차 울산공장에 지원한 이유는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 재무담당자","회계 관련되어서 본인의 학습 수준은 어느 정도 될까요?"
"현대자동차㈜","신입","일반면접 - 재무담당자","근무지가 울산이 아니라 아산이나 전주로 로테이션될 수도 있는데 괜찮을까요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","배터리 제조공정에서 가장 중요한 것은?"
"현대자동차㈜","신입","일반면접 - 품질관리자","출장이나 지방 근무가능한가요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","전고체 배터리가 부피팽창이 이루어지지않는 이유는?"
"현대자동차㈜","신입","일반면접 - 품질관리자","존경하는 인물이 있나요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","품질관리자로써 어떤 일을 해보고 싶은지?"
"현대자동차㈜","신입","일반면접 - 품질관리자","왜 품질 직무를 선택했는지?"
"현대자동차㈜","신입","일반면접 - 인사담당자","현대자동차에서 왜 근무하고 싶으세요?"
"현대자동차㈜","신입","일반면접 - 인사담당자","인사관리 업무에 대해서 알고 있는 것을 말씀해주세요."
"현대자동차㈜","신입","일반면접 - 인사담당자","노조에 대해서 본인은 어떻게 생각하나요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","영어로 자기소개를 해보세요."
"현대자동차㈜","신입","일반면접 - 기계엔지니어","현대차의 수소산업, 넥쏘차량에 대해 아는 것 및 평가를 해보세요."
"현대자동차㈜","신입","일반면접 - 기계엔지니어","이력서에 기재된 수상내역을 처음부터 끝까지 설명해보세요."
"현대자동차㈜","신입","일반면접 - 현장관리자","해당 직무에 지원한 동기는?"
"현대자동차㈜","신입","일반면접 - 현장관리자","해당 직무에서 가장 중요한 것은?"
"현대자동차㈜","신입","일반면접 - R&D·연구원","본인의 전공 및 수행한 프로젝트에 대해 설명해보세요."
"현대자동차㈜","신입","일반면접 - R&D·연구원","현대자동차에서 본인에게 기대하는 것이 무엇일지 말해보세요."
"현대자동차㈜","신입","일반면접 - 기계엔지니어","재직 중임에도 지원한 이유는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","전공이 전자전기인데, 이전에 자동차에 대해 공부한 경험이 있나요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","미래의 전장에는 어떤 기능이 있을 것 같다고 생각하나요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","희망하는 직무가 제어 플랫폼 사양 평가 쪽인 것 같은데, 제어 로직 설계에는 관심이 있나요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","상사가 아무것도 알려주지 않고 중요한 프로젝트를 맡겼다. 어떻게 하겠나요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","자동차가 중간에 가다가 멈췄을때, 어떤것이 문제일까요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","대외활동이 왜 없나요?"
"현대자동차㈜","인턴","일반면접 - 기계엔지니어","다른 회사 공채에도 지원했나요?"
"현대자동차㈜","인턴","일반면접 - 기계엔지니어","진행했던 프로젝트중 'OO프로젝트'의 구성인원과 역할을 설명해보세요."
"현대자동차㈜","인턴","일반면접 - 기계엔지니어","딥러닝을 수행하기 위해 굳이 로봇알고리즘 직무에 지원한 이유는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","일반기계기사 자격증은 왜 취득했나요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","스마트 팩토리란 무엇인지 설명해보세요."
"현대자동차㈜","신입","일반면접 - 품질관리자","기하공차란 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","마지막 할말 있으면 해보세요."
"현대자동차㈜","인턴","일반면접 - 품질관리자","생기 엔지니어로써 목표가 무엇인가요?"
"현대자동차㈜","인턴","일반면접 - 품질관리자","협력이 회사생활에서 왜 중요한가요?"
"현대자동차㈜","인턴","일반면접 - 품질관리자","현대자동차의 신사업은 무엇인가요?"
"현대자동차㈜","인턴","일반면접 - 품질관리자","RC 항공기 동아리 언제 했나요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","간단한 자기소개 및 지원동기를 말해보세요."
"현대자동차㈜","신입","일반면접 - 기계엔지니어","대학생활 중 가장 몰입한 일은?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","최근 뉴스기사 중 가장 기억에 남는 기사는?"
"현대자동차㈜","신입","일반면접 - 인사담당자","인사 직무 희망 동기는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 인사담당자","주변사람들이 평가하는 본인은?"
"현대자동차㈜","신입","일반면접 - 인사담당자","본인의 장점은?"
"현대자동차㈜","신입","일반면접 - 품질관리자","직무 지원동기를 말해보세요."
"현대자동차㈜","신입","일반면접 - 품질관리자","회사 지원동기는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","입사후 포부는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","자소서에 써있는 전공과 관련된 단점 말고 다른 단점을 얘기해보세요."
"현대자동차㈜","신입","일반면접 - 품질관리자","운동을 자주 하는 것 같은데 공부는 평소 어떻게 하나요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","보전에서 중요하다고 생각하는 것은 무엇입니까?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","최근에 본 영화는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","가장으로 써 가장 중요하다 생각되는 것은?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","회사에서 가장 중요하다 생각 되는 것은?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","금형 지원 이유는 무엇인가요?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","팀프로젝트를 하면서 다른 팀원이 낸 아이디어를 거절한 상황이 있었는가?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","새로운 아이디어를 주로 내는 편인가?"
"현대자동차㈜","신입","일반면접 - 기계엔지니어","전시까지 얼마남지 않은 상황에서 새로운 아이디어에 대해 어느정도 성공가능성을 생각한건가?"
"현대자동차㈜","신입","일반면접 - 인사담당자","지방에서 근무해야한다면 어느 공장에서 근무하고 싶습니까?"
"현대자동차㈜","신입","일반면접 - 인사담당자","친구들과의 서로 다른 의견을 조율해본 경험이 있습니까?"
"현대자동차㈜","신입","일반면접 - 인사담당자","전공과 다른 직무를 선택한 이유는 무엇입니까?"
"현대자동차㈜","신입","일반면접 - 품질관리자","PT면접) 현대자동차의 재해율에 대해 알고있는지?"
"현대자동차㈜","신입","일반면접 - 품질관리자","인성면접) 만약 모두가 하기 싫은 일을 하게 됐다면 어떻게 할 것인가?"
"현대자동차㈜","신입","일반면접 - 품질관리자","인성면접) 꼬리질문) 그런데도 동료가 도와주지 않는다면?"
"현대자동차㈜","신입","일반면접 - 영업지원","협력했던 경험은?"
"현대자동차㈜","신입","일반면접 - 영업지원","지방근무 괜찮은가요?"
"현대자동차㈜","신입","일반면접 - 영업지원","조직 내에서 변화를 시도한 경험?"
"현대자동차㈜","신입","일반면접 - 홍보","가장 열정적으로 했던 프로젝트 경험은 무엇인가?"
"현대자동차㈜","신입","일반면접 - 홍보","팀프로젝트를 하던 중 갈등을 겪었던 경험이 있나요?"
"현대자동차㈜","신입","일반면접 - 홍보","현대자동차가 개척하고 있는 신시장을 아는가?"
"현대자동차㈜","신입","일반면접 - 품질관리자","도전적인 목표를 세우고 or 도전적인 경험을 했던 프로젝트가 있나요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","이 분야에 지원하게 된 계기가 무엇인지?"
"현대자동차㈜","신입","일반면접 - 품질관리자","본인은 OOO한 성격인 것 같은데 언제부터 이런 성격을 가지게 되었나요"
"현대자동차㈜","인턴","일반면접 - 품질관리자","도전적인 목표를 세우고 or 도전적인 경험을 했던 프로젝트가 있나요?"
"현대자동차㈜","인턴","일반면접 - 품질관리자","가동률이 무었인가요?"
"현대자동차㈜","인턴","일반면접 - 품질관리자","자동차 생산 과정에서의 구체적 설비를 아는지?"
"현대자동차㈜","신입","일반면접 - 품질관리자","1분자기소개"
"현대자동차㈜","신입","일반면접 - 품질관리자","미래의 꿈은 무엇이냐?"
"현대자동차㈜","신입","일반면접 - 품질관리자","현대자동차에서 개선하고자 하는점"
"현대자동차㈜","신입","역량면접 - 홍보","직무와 관련해서 본인의 역량을 증빙할 객관적인 자료가 있는가?"
"현대자동차㈜","신입","역량면접 - 홍보","단체 내에서 시스템 변화를 시도해 본 경험이 있는가?"
"현대자동차㈜","신입","역량면접 - 홍보","마지막으로 하고 싶은 말이 있는가?"
"현대자동차㈜","신입","인성면접 - 상품기획.MD","선택하지 않은 대안에 대해 선택하지 않은 이유를 말해보세요."
"현대자동차㈜","신입","인성면접 - 상품기획.MD","지금까지 살아오면서 협력한 경험을 말해보세요."
"현대자동차㈜","신입","PT면접 - R&D(연구개발)","(PT면접) 선택한 방안의 실현가능성을 말해보세요"
"현대자동차㈜","신입","역량면접 - 기계엔지니어","(직무역량) 2번째 대안은 발열이 높다는 단점이 있다. 이를 해결할 방안은 있는가?"
"현대자동차㈜","신입","역량면접 - 기계엔지니어","(직무역량) 제시된 문제를 해결하기 위한 3가지 대안 중 왜 2번째 대안을 선택하였는가?"
"현대자동차㈜","신입","역량면접 - 기계엔지니어","(핵심역량) 어떤 자동차에 관심이 있는가?"
"현대자동차㈜","신입","역량면접 - 기계엔지니어","(핵심역량) 어떤 조직이나 단체를 이끌어 본 경험이 있는가?"
"현대자동차㈜","신입","역량면접 - 기계엔지니어","(핵심역량) 친구가 다른 친구에게 소개한다고 했을 때, 당신을 한 단어로 뭐라고 소개하겠는가?"
"현대자동차㈜","신입","인성면접 - 인사/총무","가장 힘들었던 순간은 언제이고 어떻게 극복했나요?"
"현대자동차㈜","신입","인성면접 - 인사/총무","삶의 궁극적인 목표는 무엇인가요?"
"현대자동차㈜","신입","인성면접 - 연구개발","가장 도전적이었던 경험은 무엇이었나요?"
"현대자동차㈜","신입","인성면접 - 연구개발","구체적인 목표를 가지고 노력했던 경험을 자세히 말해보세요."
"현대자동차㈜","신입","인성면접 - 연구개발","성취를 위해 끊임없이 노력했던 경험이 있다면 얘기해보세요."
"현대자동차㈜","신입","인성면접 - 연구개발","여러 사람들과 협동해서 무언가를 해낸 경험이 있나요?"
"현대자동차㈜","신입","인성면접 - 연구개발","팀으로 계획을 세워 목표를 이룬 경험이 있나요?"
"현대자동차㈜","신입","인성면접 - 연구개발","프로젝트에서 주도적인 역할을 했던 경험을 말해보세요."
"현대자동차㈜","신입","인성면접 - 자동차정비","본인의 사수가 10년간 엔진오일교체일만 시킨다면 어떻게 할 것인가요?"
"현대자동차㈜","신입","인성면접 - 자동차정비","팀을 이뤄 했던 활동이 있습니까?"
"현대자동차㈜","신입","인성면접 - 품질","기사 자격증을 취득한 이유는 무엇입니까?"
"현대자동차㈜","신입","인성면접 - 품질","한전을 가지 않은 이유가 있습니까?"
"현대자동차㈜","신입","인성면접 - 생산관리/품질관리","창의성이란 무엇이라고 생각하나요?"
"현대자동차㈜","신입","일반면접 - 엔지니어링","현대의 이미지는 어떤가요?"
"현대자동차㈜","신입","일반면접 - 품질관리자","위기를 극복했던 경험"
"현대자동차㈜","신입","일반면접 - 품질관리자","거주지와 근무지가 멀다고 생각하는 데 근무를 잘 할 수 있겠는가"
"현대자동차㈜","신입","일반면접 - 품질관리자","현장에서 가장 중요한 것이 무엇이라고 생각하는가"
"현대자동차㈜","신입","인성면접 - 자동차설계","대한민국에서 올바르게 부자가 된 사람은 몇 퍼센트라고 생각하나요?"
"현대자동차㈜","신입","인성면접 - 자동차설계","대한민국의 가장 큰 문제점은 무엇이라고 생각하나요?"
"현대자동차㈜","신입","인성면접 - 자동차설계","마지막으로 하고 싶은 말이 있습니까?"
"현대자동차㈜","신입","인성면접 - 자동차설계","자동차에 대한 특별한 경험이 있습니까?"
"현대자동차㈜","신입","인성면접 - 플랜트","40대, 50대가 모바일 시스템을 잘 이해하지 못한다면 어떻게 해결 수 있을 것인가?"
"현대자동차㈜","신입","인성면접 - 플랜트","왜 그 안건을 지지했고, 그 단점에 대해 보완할 수 있는 점은 무엇입니까?"
"현대자동차㈜","신입","인성면접 - 플랜트","로또에 당첨된다면 어떤 기분이 들 것 같습니까?"
"현대자동차㈜","신입","인성면접 - 플랜트","마지막에 의견을 바꿨는데 바꾼 이유가 있습니까?"
"현대자동차㈜","신입","인성면접 - 플랜트","지방에서 근무를 할 수 있습니까?"
"현대자동차㈜","신입","인성면접 - 플랜트","지키기 힘들었던 규칙이 있습니까?"
"현대자동차㈜","신입","인성면접 - 플랜트","팀워크 활동하면서 본인이 맡았던 역할과 팀 프로젝트에 기여한 일은 무엇입니까?"
"현대자동차㈜","신입","인성면접 - 플랜트","팀워크를 이루었던 경험이 있습니까?"
"현대자동차㈜","신입","일반면접 - R&D(연구개발)","어떤 전공 지식이 설계에 적용이 될 수 있을까요?"
"현대자동차㈜","신입","일반면접 - R&D(연구개발)","왜 그 안건을 지지했고, 그 단점에 대해 보완할 수 있는 점은 무엇입니까?"
"현대자동차㈜","신입","일반면접 - R&D(연구개발)","왜 현대차에 지원한 이유는 무엇입니까?"
"현대자동차㈜","신입","일반면접 - R&D(연구개발)","자동차 관련된 실무 경험이 있나요?"
"현대자동차㈜","신입","일반면접 - R&D(연구개발)","현대차에 지원하게 된 동기를 말씀해주세요."
"현대자동차㈜","신입","일반면접 - R&D(연구개발)","현대차의 문제점이라고 생각하는 것은 무엇인가요?"
"현대자동차㈜","신입","인성면접 - 생산관리","품질 등급이 회사별로 어떻게 되는지 알고 있나요?"
"현대자동차㈜","신입","인성면접 - 생산관리","가격경쟁력 개선 방안은 무엇이라고 생각하나요?"
"현대자동차㈜","신입","인성면접 - 생산관리","친구들은 본인을 어떤 사람이라고 평가하나요?"
"현대자동차㈜","신입","인성면접 - 생산관리","팀 활동 중 기억에 남는 활동이 있습니까?"
"현대자동차㈜","신입","인성면접 - 생산관리","팀 활동으로 무슨 활동을 했습니까?"
"현대자동차㈜","신입","인성면접 - 생산관리","품질 개선 방안에 대한 본인의 의견을 말해보세요."
"현대자동차㈜","신입","인성면접 - 생산관리","품질이 필요하다고 생각하는 이유는 무엇입니까?"
"현대자동차㈜","신입","인성면접 - 생산관리","회사를 선택한 이유가 무엇입니까?"
"현대자동차㈜","인턴","인성면접 - 제품영업","본인이 최근 3년 동안 도전적인 목표를 세우고 실천했던 경험이 있는가?"
"현대자동차㈜","인턴","인성면접 - 제품영업","학창시절 팀 프로젝트로 무엇을 했고 어떤 역할을 했는가?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","A회사를 다니면서 지원한 이유는 무엇인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","기사에서 나온 얘기 말고 직접 현대자동차를 운전하면서 느낀 장단점은 무엇인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","변속기를 다단화시킬 수 있는 방법 중에 본인이 창의적으로 생각해 본 해결 방안이 있습니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","변속기의 단수가 많아지면 자동차에 생기는 문제점은 무엇인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","본인이 제시한 창의적인 대안과, 기존에 있던 대안과의 장단점을 말해보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","오늘 면접이 안되면 받았던 것 모두 돌려줘야겠네요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","A회사의 장단점은 무엇인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","가장 도전적이었던 경험은 무엇입니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","가장 힘들었던 경험을 말해보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","갈등 상황이 있었나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","그 회사를 선택한 이유가 무엇입니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","그건 기사에서 나온 것 말고, 직접 현대자동차를 운전하면서 느낀 장단점은 무엇입니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","글로벌 엔지니어의 꿈을 이루기 위해서 몇 년이 필요한가?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","기업의 복리후생을 아십니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","동아리 활동을 하며 가장 어려웠던 일과 가장 행복했던 일에 대해 말해보세요 ."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","마지막으로 어필하고 싶은 부분이 있다면 얘기해보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","마지막으로 하고 싶은 말이 있습니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","목표를 세워 노력한 경험이 있나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","본인 의견이 소수에 속하는 의견일 때 어떻게 할 것입니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","본인은 행복하다고 생각하나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","본인의 성격 중 단점은 무엇인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","본인의 역할로 인한 결과는 어떻습니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","본인의 전공과 지원 직무를 연결하여 보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","선택한 직무를 위해 어떤 수업을 베웠습니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","선택한 직무를 위해 어떤 수업을 수강했고 무엇을 배웠나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","소통에서 가장 중요한 것은 무엇이낙요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","아침밥을 먹고 왔나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","에어 서스펜션이 들어간 현대자동차의 차량을 말해보시오"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","인생에서 가장 도전적이었던 경험은 무엇입니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","자기소개서에서 언급한 내용 외에 목표를 성취했던 경험이 있나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","자주 조장을 맡는 편인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","전역후 무엇을 할 것인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","졸업하고 무엇을 할 것인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","졸업하고 무엇을 했나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","중국어 공부를 한 이유와 어떻게 공부했는지 말해보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","지원 동기가 무엇입니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","지원동기를 말해보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","취미가 무엇이고 취미를 가지게 된 계기가 있나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","클러치 최적화 방안은 무엇이 있는지 말해보시오."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","팀 활동에서 갈등 상황이 있었나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","팀원과 트러블이 있었던 경험이 있습니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","팀으로 활동하면서 도전적인 경험을 이야기 해보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","팀을 이루어 리더십을 발휘한 경험이 있나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","팀 활동에 불화가 있는 경우 어떻게 해결하였나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","평소에도 팀에서 본인이 조장을 맡는 편인가요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","품질 개선 방안에 대해 어떻게 생각합니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","프로젝트를 했던 팀의 성격과 해결 과정을 말해보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","행복합니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","현대자동차 파워트레인의 장단점에 대해 말해보시오"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","현대자동차가 개발해야 할 기술은 무엇이라 생각하나요?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","현대자동차의 강점과 약점이 무엇이라고 생각합니까?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","현대자동차의 복리후생에 대해 아는 대로 말해보세요."
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","현대파워텍과 현대자동차를 비교해보시오"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","A회사를 다니면서 지원한 이유는 무엇인가?"
"현대자동차㈜","신입","인성면접 - R&D(연구개발)","A회사의 장단점은 무엇인가?"
"현대자동차㈜","신입","인성면접 - 경영지원","국내영업에 지원한 이유가 무엇인가?"
"현대자동차㈜","신입","인성면접 - 경영지원","면접이 끝나면 누구에게 가장 감사할 것인가?"
"현대자동차㈜","신입","인성면접 - 경영지원","소통이 무엇이라고 생각하는지 말해보라."
"현대자동차㈜","신입","인성면접 - 경영지원","술에 대한 본인의 생각은 어떠한가?"
"현대자동차㈜","신입","인성면접 - 경영지원","여성 지원자로서 강점이 무엇이 있는가?"
"현대자동차㈜","신입","인성면접 - 경영지원","인턴하면서 가장 좋았던 점은 무엇인가?"
"현대자동차㈜","신입","인성면접 - 총무","구체적으로 담당하고 싶은 업무 파트가 있나요?"
"현대자동차㈜","신입","인성면접 - 총무","본인은 따라가는 스타일인가요? 아니면 주도하는 스타일인가요?"
"현대자동차㈜","신입","인성면접 - 총무","본인을 가장 잘 표현해 내는 단어는 어떤 것입니까?"
"현대자동차㈜","신입","인성면접 - 총무","타인은 OOO씨를 어떤 식으로 말하나요? 가장 맘에 드는 별명이 있습니까?"
"현대자동차㈜","신입","인성면접 - 총무","팀에 들어가서 팀워크를 보여주었던 사례가 있으면 설명을 해 주세요."
"현대자동차㈜","신입","인성면접 - 생산관리","가격 경쟁력 개선 방안에 대한 본인의 의견은 무엇입니까?"
"현대자동차㈜","신입","인성면접 - 생산관리","그 회사를 선택한 이유가 무엇입니까?"
